122586.NMB0186	Q9K1G6
122586.NMB0823	P0A0U7
122586.NMB0823	P0DH56
122586.NMB1300	P57065
122586.NMB1283	Q9JZ55
122586.NMB0675	Q9K0D6
122586.NMB1661	Q9JYB5
122586.NMB2029	Q4W557
122586.NMB0875	P65235
122586.NMB0670	Q9K0D9
122586.NMB1540	Q06379
122586.NMB0766	Q9K055
122586.NMB1070	Q9JZG1
122586.NMB1031	Q9JZI9
122586.NMB1036	Q9JZI5
122586.NMB1034	Q9JZI6
122586.NMB0206	Q9K1E9
122586.NMB1928	Q51116
122586.NMB1926	Q51117
122586.NMB1072	Q9JZF9
122586.NMB0340	P0A0T3
122586.NMB1216	Q9JZA5
122586.NMB1217	Q9JZA4
122586.NMB0082	Q05013
122586.NMB0713	Q9K0A2
122586.NMB0622	P57068
122586.NMB0873	P57024
122586.NMB1235	P57062
122586.NMB1234	P57031
122586.NMB0083	Q05014
122586.NMB0280	Q9K187
122586.NMB0178	P95379
122586.NMB0199	Q9K1F5
122586.NMB0017	Q9K1Q3
122586.NMB0180	P95377
122586.NMB0544	Q9K0P2
122586.NMB0672	Q9K0D7
122586.NMB1832	P65265
122586.NMB0922	P72097
122586.NMB1981	Q9JXL8
122586.NMB0549	Q9K0N7
122586.NMB0652	Q9JS44
122586.NMB0944	Q9JZQ2
122586.NMB0943	Q9JZQ3
122586.NMB1799	Q9JY09
122586.NMB0940	Q9JZQ5
122586.NMB0935	Q9JZR0
122586.NMB1866	Q9JXV8
122586.NMB0170	Q9K1I0
122586.NMB0171	Q7DDS7
122586.NMB0172	Q9K1H9
122586.NMB1556	Q9JYJ6
122586.NMB1987	Q9JXL4
122586.NMB0193	Q9K1G0
122586.NMB0215	Q9K1E1
122586.NMB2096	Q9JXD7
122586.NMB0418	Q9K0Y6
122586.NMB0410	Q9K0Z1
122586.NMB1919	Q9JXR3
122586.NMB0044	Q9K1N8
122586.NMB0357	P0A0Z4
122586.NMB0357	P69345
122586.NMB0011	Q9K1Q9
122586.NMB0811	Q9K016
122586.NMB0423	Q9K0Y1
122586.NMB0420	Q9K0Y4
122586.NMB0414	Q9K0Y9
122586.NMB0422	Q9K0Y2
122586.NMB0458	P0A0R0
122586.NMB1442	Q9JYT2
122586.NMB2160	Q9JX94
122586.NMB0394	Q9K105
122586.NMB0392	Q9K107
122586.NMB2024	P57090
122586.NMB0807	P65773
122586.NMB0530	Q9K0Q4
122586.NMB1307	P65533
122586.NMB0069	P0A0Z7
122586.NMB0069	P0A0Z8
122586.NMB0255	Q7DDR9
122586.NMB1197	Q9JRZ9
122586.NMB0812	Q9K015
122586.NMB0569	Q9K0M3
122586.NMB0568	Q9K0M4
122586.NMB0567	Q9K0M5
122586.NMB0566	Q9K0M6
122586.NMB0565	Q9K0M7
122586.NMB0564	Q9K0M8
122586.NMB1816	Q9JXZ9
122586.NMB0639	Q9K0G6
122586.NMB0242	Q9K1C2
122586.NMB0243	Q9K1C1
122586.NMB0244	Q9K1C0
122586.NMB0250	Q9K1B4
122586.NMB0251	Q7DDS1
122586.NMB0254	Q7DDS0
122586.NMB0257	Q9K1B0
122586.NMB0683	Q9K0D0
122586.NMB0126	P65592
122586.NMB2086	Q9JXE5
122586.NMB0382	P0A0V3
122586.NMB1429	P0DH58
122586.NMB2039	P30690
122586.NMB1863	Q9JXW1
122586.NMB1573	P0DH57
122586.NMB1573	Q01325
122586.NMB0464	Q9K0U7
122586.NMB1945	Q9JXP4
122586.NMB0870	Q9JZW6
122586.NMB0871	P57036
122586.NMB1282	Q9JZ56
122586.NMB1944	Q9JXP5
122586.NMB0413	P0A0U9
122586.NMB1807	P0A0Z6
122586.NMB0195	Q9K1F9
122586.NMB1360	Q9JYZ5
122586.NMB0448	Q9K0V9
122586.NMB0010	Q9K1R0
122586.NMB0790	P40391
122586.NMB1812	Q70M91
122586.NMB0927	Q9JZR6
122586.NMB1294	Q9JZ47
122586.NMB1913	Q9JXR8
122586.NMB1062	Q9JZG9
122586.NMB1505	Q9JYM9
122586.NMB0758	Q9K062
122586.NMB1900	Q9JXS9
122586.NMB0618	Q9K0I2
122586.NMB1322	Q9JZ30
122586.NMB1862	Q9JXW2
122586.NMB1655	Q9JYC0
122586.NMB1068	Q9JZG3
122586.NMB1069	Q9JZG2
122586.NMB0963	Q9JZP0
122586.NMB0619	Q9K0I1
122586.NMB2045	P65877
122586.NMB0795	Q9K029
122586.NMB2151	Q9JXA3
122586.NMB1996	Q9JXK5
122586.NMB1252	Q9JZ80
122586.NMB0757	Q9K063
122586.NMB0983	Q9JZM7
122586.NMB0815	Q9K012
122586.NMB0106	P65616
122586.NMB0682	Q9K0D1
122586.NMB0221	Q9K1D7
122586.NMB1874	P65915
122586.NMB0824	Q9K005
122586.NMB1554	Q9JYJ8
122586.NMB2103	P65932
122586.NMB0107	Q9K1K9
122586.NMB1859	Q9JXW4
122586.NMB0525	Q9K0Q9
122586.NMB0529	Q9K0Q5
122586.NMB0317	Q9K161
122586.NMB1373	Q9JYY2
122586.NMB0851	Q9JZY2
122586.NMB1445	P0DH59
122586.NMB0447	Q9K0W0
122586.NMB1237	Q9JZ92
122586.NMB1479	Q9JYQ3
122586.NMB1686	Q9JY93
122586.NMB2138	Q9JXB3
122586.NMB0626	Q9K0H6
122586.NMB1254	Q9JZ78
122586.NMB1256	Q9JZ77
122586.NMB0591	Q9K0K3
122586.NMB1641	P67217
122586.NMB0684	P66037
122586.NMB0130	P66047
122586.NMB0127	Q9K1J3
122586.NMB2057	Q7DD49
122586.NMB0152	Q7DDT2
122586.NMB0161	Q9K1I2
122586.NMB0149	Q7DDT4
122586.NMB0169	Q9K1I1
122586.NMB0158	Q7DDT0
122586.NMB0589	Q9K0K5
122586.NMB0128	P66088
122586.NMB0723	Q9K093
122586.NMB0325	Q7DDR4
122586.NMB0147	Q7DDT5
122586.NMB0144	Q9K1I6
122586.NMB0153	P60733
122586.NMB0876	Q9JZW3
122586.NMB0324	P66130
122586.NMB0321	P66151
122586.NMB0150	P66169
122586.NMB0145	Q9K1I5
122586.NMB0160	Q7DDS9
122586.NMB0942	Q9JZQ4
122586.NMB1956	P66190
122586.NMB1911	Q9JXS0
122586.NMB0322	P66226
122586.NMB1904	P66251
122586.NMB0722	P66274
122586.NMB0164	P66293
122586.NMB0941	P66295
122586.NMB0142	P60444
122586.NMB0143	P61057
122586.NMB0154	Q9K1I4
122586.NMB0157	Q9K1I3
