214684.XP_567683.1	P0CS44
214684.XP_568738.1	P0CS74
214684.XP_571514.1	P0CO72
214684.XP_566662.1	P0CO74
214684.XP_568275.1	P0CO76
214684.XP_572607.1	P0CN04
214684.XP_571086.1	P0CM68
214684.XP_572756.1	P0CR34
214684.XP_572380.1	P0CO80
214684.XP_570314.1	P0CO82
214684.XP_569600.1	P0CO20
214684.XP_572705.1	Q9HFU4
214684.XP_569873.1	P0CR16
214684.XP_569367.1	P0CR12
214684.XP_569494.1	P0CO92
214684.XP_566626.1	Q5KPU2
214684.XP_572885.1	P0CN40
214684.XP_572402.1	P0CM14
214684.XP_572521.1	Q5KD76
214684.XP_571433.1	P0CR58
214684.XP_568003.1	P0CP00
214684.XP_566541.1	P0CP04
214684.XP_568154.1	P0CP06
214684.XP_572296.1	P0CP08
214684.XP_570013.1	P0CM18
214684.XP_572892.1	P0CP10
214684.XP_570859.1	P0CO88
214684.XP_568369.1	P0CP14
214684.XP_570971.1	P0CP16
214684.XP_572861.1	P0CP38
214684.XP_571637.1	P0CP12
214684.XP_571615.1	P0CO24
214684.XP_568517.1	P34809
214684.XP_568517.1	P0CP20
214684.XP_568064.1	Q5K8L4
214684.XP_570307.1	Q5KJ55
214684.XP_571931.1	P0CP44
214684.XP_569396.1	P0CP24
214684.XP_571279.1	P0CP26
214684.XP_570234.1	P0CP28
214684.XP_569518.1	P0CP30
214684.XP_568437.1	P0CQ60
214684.XP_570483.1	P0CP34
214684.XP_570135.1	P0CP36
214684.XP_566998.1	P0CP40
214684.XP_571375.1	P0CP42
214684.XP_572834.1	P0CP46
214684.XP_572292.1	P0CS62
214684.XP_571758.1	P0CM46
214684.XP_572419.1	P0CQ06
214684.XP_570898.1	P0CM48
214684.XP_572177.1	P0CP48
214684.XP_570481.1	P0CQ08
214684.XP_567539.1	P0CP50
214684.XP_568799.1	P0CP58
214684.XP_568959.1	P0CS68
214684.XP_569471.1	P0CS46
214684.XP_568399.1	P0CP74
214684.XP_570928.1	P0CP52
214684.XP_569591.1	P0CQ18
214684.XP_569144.1	P0CQ20
214684.XP_569421.1	P0CS18
214684.XP_566941.1	P0CO46
214684.XP_567082.1	P0CM92
214684.XP_572468.1	P0CR74
214684.XP_571865.1	P0CP78
214684.XP_571478.1	P0CP80
214684.XP_567540.1	P0CP82
214684.XP_569482.1	P0CP84
214684.XP_567277.1	P0CP90
214684.XP_570789.1	P0CP86
214684.XP_566927.1	P0CP88
214684.XP_572652.1	P0CO62
214684.XP_570854.1	Q5KH67
214684.XP_567003.1	P0CQ88
214684.XP_572276.1	P0CR56
214684.XP_572004.1	P0CS48
214684.XP_569125.1	P0CQ98
214684.XP_569789.1	P0CQ12
214684.XP_572168.1	P0CQ28
214684.XP_570020.1	P0CQ30
214684.XP_567428.1	P0CQ32
214684.XP_567637.1	P0CQ00
214684.XP_572340.1	P0CQ02
214684.XP_570953.1	P0CQ36
214684.XP_569734.1	P0CQ34
214684.XP_572079.1	P0CS95
214684.XP_566693.1	P0CQ66
214684.XP_566685.1	P0CQ42
214684.XP_570029.1	P0CQ44
214684.XP_566660.1	P40909
214684.XP_567018.1	P0CQ48
214684.XP_566779.1	P0CQ68
214684.XP_569179.1	P0CO12
214684.XP_572072.1	P0CR04
214684.XP_570436.1	P0CR18
214684.XP_571979.1	P0CR20
214684.XP_572889.1	P0CR00
214684.XP_568980.1	P0CQ58
214684.XP_566804.1	P0CR22
214684.XP_572918.1	P0CQ56
214684.XP_572818.1	P0CQ54
214684.XP_572762.1	Q5KC16
214684.XP_566529.1	P0CR26
