9796.ENSECAP00000023103	P48656
9796.ENSECAP00000023108	P48657
9796.ENSECAP00000016460	O18912
9796.ENSECAP00000021446	P83005
9796.ENSECAP00000006210	P79892
9796.ENSECAP00000007194	P00594
9796.ENSECAP00000022445	O77793
9796.ENSECAP00000011361	Q28389
9796.ENSECAP00000012880	Q867C9
9796.ENSECAP00000015107	O19183
9796.ENSECAP00000012929	P00559
9796.ENSECAP00000016465	O46403
9796.ENSECAP00000017861	O46542
9796.ENSECAP00000013414	Q9XS39
9796.ENSECAP00000006627	P80010
9796.ENSECAP00000022747	Q6WL85
9796.ENSECAP00000000120	P12420
9796.ENSECAP00000014224	Q28380
9796.ENSECAP00000007190	O97921
9796.ENSECAP00000001029	Q8HZJ2
9796.ENSECAP00000012364	Q9GMB7
9796.ENSECAP00000017043	Q27IM2
9796.ENSECAP00000015155	Q5W9D6
9796.ENSECAP00000010760	P22969
9796.ENSECAP00000013969	Q28369
9796.ENSECAP00000003936	Q6RG78
9796.ENSECAP00000000003	Q6X9Z5
9796.ENSECAP00000009716	P00674
9796.ENSECAP00000001027	Q70IB3
9796.ENSECAP00000008853	P55832
9796.ENSECAP00000018481	Q9XSB7
9796.ENSECAP00000015147	Q865V3
9796.ENSECAP00000006408	O77691
9796.ENSECAP00000006669	Q14ST5
9796.ENSECAP00000020821	Q65AC2
9796.ENSECAP00000011472	P19857
9796.ENSECAP00000000163	Q95MD2
9796.ENSECAP00000016397	Q95L88
9796.ENSECAP00000020916	F6USH3
9796.ENSECAP00000010519	Q9TUG2
9796.ENSECAP00000007080	P00443
9796.ENSECAP00000009823	Q9XS41
9796.ENSECAP00000007142	P01245
9796.ENSECAP00000020809	P81121
9796.ENSECAP00000007151	Q2QLA6
9796.ENSECAP00000010699	O46689
9796.ENSECAP00000011635	Q9GKL2
9796.ENSECAP00000014659	Q2QLB2
9796.ENSECAP00000021947	Q2V905
9796.ENSECAP00000009480	O19011
9796.ENSECAP00000011207	O97508
9796.ENSECAP00000011965	O02722
9796.ENSECAP00000009754	O77717
9796.ENSECAP00000015840	Q9TUL9
9796.ENSECAP00000015544	Q6T752
9796.ENSECAP00000008292	Q9MYW3
9796.ENSECAP00000001460	P29553
9796.ENSECAP00000015031	Q5PYI0
9796.ENSECAP00000014907	Q3ZTK5
9796.ENSECAP00000011237	Q0EAB8
9796.ENSECAP00000019820	P02561
9796.ENSECAP00000011777	Q3BCR6
9796.ENSECAP00000019516	O77811
9796.ENSECAP00000010679	Q28376
9796.ENSECAP00000007110	P62327
9796.ENSECAP00000002343	Q8MKD1
9796.ENSECAP00000000694	Q28388
9796.ENSECAP00000015992	Q9GM50
9796.ENSECAP00000008559	Q8MKG2
9796.ENSECAP00000022226	Q2QLA5
9796.ENSECAP00000002736	F6X2H4
9796.ENSECAP00000005842	F7CJP0
9796.ENSECAP00000023109	G4RIR4
9796.ENSECAP00000001446	F6W511
9796.ENSECAP00000023111	Q6J6X5
9796.ENSECAP00000023110	A5JYA9
9796.ENSECAP00000015447	A2Q126
9796.ENSECAP00000007519	A5JST7
9796.ENSECAP00000023111	A5JYA1
9796.ENSECAP00000014352	F6YHQ0
9796.ENSECAP00000018493	F6TI31
9796.ENSECAP00000022173	B1AB88
9796.ENSECAP00000023109	A5JYD6
9796.ENSECAP00000023113	A0A0A7RFQ2
9796.ENSECAP00000023110	G8D0C9
9796.ENSECAP00000023112	A0A088NDJ8
9796.ENSECAP00000023109	G8D088
9796.ENSECAP00000023109	G8D0K5
9796.ENSECAP00000019149	R9W939
9796.ENSECAP00000004025	F7B9F5
9796.ENSECAP00000019589	F6X3R8
9796.ENSECAP00000023109	G8D1A2
9796.ENSECAP00000023109	G8CZX1
9796.ENSECAP00000008730	F7DQL9
9796.ENSECAP00000001815	F6U3F1
9796.ENSECAP00000019149	Q6SJP3
9796.ENSECAP00000010831	F6RH82
9796.ENSECAP00000023110	B2ZFQ2
9796.ENSECAP00000023111	G8D040
9796.ENSECAP00000023110	G8D0B3
9796.ENSECAP00000023111	G8CZT6
9796.ENSECAP00000011005	B8K1X7
9796.ENSECAP00000006104	Q257U4
9796.ENSECAP00000023111	M4I2Y1
9796.ENSECAP00000006431	A7LBR9
9796.ENSECAP00000006994	F6ULU9
9796.ENSECAP00000019164	F6YYT5
9796.ENSECAP00000003412	O97964
9796.ENSECAP00000000908	E1A462
9796.ENSECAP00000020819	F6W9Z5
9796.ENSECAP00000007080	D7PPM2
9796.ENSECAP00000023109	G8D124
9796.ENSECAP00000014172	F6YIK2
9796.ENSECAP00000017636	F7BTN2
9796.ENSECAP00000023109	A5JYC3
9796.ENSECAP00000016502	F6ZFC9
9796.ENSECAP00000023109	G4RIU0
9796.ENSECAP00000009710	A0A0B4KE71
9796.ENSECAP00000016041	E1A463
9796.ENSECAP00000023105	Q6J6X0
9796.ENSECAP00000014710	A5YBL8
9796.ENSECAP00000011919	Q2EEY0
9796.ENSECAP00000023104	Q6J6X1
9796.ENSECAP00000009209	F7AR26
9796.ENSECAP00000023112	Q6J6W9
9796.ENSECAP00000023107	A0A0C4HJG8
9796.ENSECAP00000022397	R4HIK1
9796.ENSECAP00000016685	Q75XR1
9796.ENSECAP00000018852	R9W5D9
9796.ENSECAP00000023113	C3RU67
9796.ENSECAP00000018340	K9MC52
9796.ENSECAP00000007076	Q0W9Q4
9796.ENSECAP00000022162	Q861U1
9796.ENSECAP00000023113	Q2PX84
9796.ENSECAP00000002857	F6WP47
9796.ENSECAP00000016780	F7A2Q1
9796.ENSECAP00000000534	F7DT77
9796.ENSECAP00000023103	G8D125
9796.ENSECAP00000022596	Q3LTI5
9796.ENSECAP00000000316	F7D482
9796.ENSECAP00000012209	F7DTX6
9796.ENSECAP00000002079	Q6RG76
9796.ENSECAP00000023105	H3JZZ3
9796.ENSECAP00000016524	Q71UC7
9796.ENSECAP00000016261	F7BPV6
9796.ENSECAP00000023112	H6TZB8
9796.ENSECAP00000022267	F6SIZ6
9796.ENSECAP00000016225	Q6RFZ6
9796.ENSECAP00000009989	F6WFF6
9796.ENSECAP00000023108	G8D126
9796.ENSECAP00000007413	F6YRI4
9796.ENSECAP00000011846	B8K2M6
9796.ENSECAP00000010324	F6RUT0
9796.ENSECAP00000023112	A5JYA7
9796.ENSECAP00000016524	Q9TQV1
9796.ENSECAP00000023113	B2M0T0
9796.ENSECAP00000023113	B4Y1F1
9796.ENSECAP00000023113	B4Y1F2
9796.ENSECAP00000011383	F6ZMI7
9796.ENSECAP00000023106	A5JYB7
9796.ENSECAP00000000048	B1AB80
9796.ENSECAP00000007755	F6YZZ3
9796.ENSECAP00000015899	F7CHR2
9796.ENSECAP00000008150	F6PRC7
9796.ENSECAP00000007630	F6WHY8
9796.ENSECAP00000004862	F7BS05
9796.ENSECAP00000001252	F6VDU3
9796.ENSECAP00000011100	F7BJX2
9796.ENSECAP00000021735	D7GB59
9796.ENSECAP00000000377	F7CY64
9796.ENSECAP00000002424	F6XTE8
9796.ENSECAP00000009716	F7BF83
9796.ENSECAP00000007813	F6ZNV2
9796.ENSECAP00000009520	F7APT4
9796.ENSECAP00000000483	Q6KBW6
9796.ENSECAP00000011057	F6ZPQ6
9796.ENSECAP00000023113	B4Y1F9
9796.ENSECAP00000023103	A5JYC4
9796.ENSECAP00000008321	F6QTT0
9796.ENSECAP00000023113	Q2PX98
9796.ENSECAP00000001716	A8C9U3
9796.ENSECAP00000023113	H6WQ90
9796.ENSECAP00000023105	A5JYB9
9796.ENSECAP00000011685	F6ZLR7
9796.ENSECAP00000021729	Q0EAB4
9796.ENSECAP00000011508	O62842
9796.ENSECAP00000016524	Q9TQU2
9796.ENSECAP00000022084	F6QXY2
9796.ENSECAP00000006466	F6TXS2
9796.ENSECAP00000018804	F6RNN4
9796.ENSECAP00000007561	B1AB91
9796.ENSECAP00000021943	F6Z1U4
9796.ENSECAP00000023103	M4I4X6
9796.ENSECAP00000002922	F7A6J6
9796.ENSECAP00000012612	F7D2X9
9796.ENSECAP00000023113	B4Y1F8
9796.ENSECAP00000023103	M4I3Z8
9796.ENSECAP00000006868	F6S5Y3
9796.ENSECAP00000014248	F6X1D5
9796.ENSECAP00000016312	F7B2S0
9796.ENSECAP00000013083	F6U909
9796.ENSECAP00000014122	F6XQN7
9796.ENSECAP00000003697	F6RK65
9796.ENSECAP00000023107	H6VP77
9796.ENSECAP00000008462	Q0H0G1
9796.ENSECAP00000023107	M4I4H1
9796.ENSECAP00000017781	Q8HX97
9796.ENSECAP00000008212	F6SAF6
9796.ENSECAP00000018402	F6U5X2
9796.ENSECAP00000019893	F7BK24
9796.ENSECAP00000009511	F7ATC2
9796.ENSECAP00000009164	F7BB97
9796.ENSECAP00000012232	F7DPN8
9796.ENSECAP00000014916	F7AZ56
9796.ENSECAP00000017148	F7DE88
9796.ENSECAP00000022026	F6SDF9
9796.ENSECAP00000023103	G8D0Z9
9796.ENSECAP00000004579	Q0PVU7
9796.ENSECAP00000021694	B9A9U9
9796.ENSECAP00000015591	F6PHM2
9796.ENSECAP00000020538	F6TCM7
9796.ENSECAP00000021424	F6WLX9
9796.ENSECAP00000023079	F6ZBZ3
9796.ENSECAP00000009012	F6ZUJ2
9796.ENSECAP00000023107	A5JYA3
9796.ENSECAP00000010854	F6R950
9796.ENSECAP00000009945	F6T6Y5
9796.ENSECAP00000000415	F7CBN0
9796.ENSECAP00000002384	F6YHH0
9796.ENSECAP00000023103	M4I4V8
9796.ENSECAP00000006516	F6WAU6
9796.ENSECAP00000004674	F7B0J6
9796.ENSECAP00000023101	A5JYC8
9796.ENSECAP00000010955	A5YBN0
9796.ENSECAP00000009340	B7UBT6
9796.ENSECAP00000004715	F7ADE8
9796.ENSECAP00000023104	A5JYD1
9796.ENSECAP00000012430	Q8WMP4
9796.ENSECAP00000009999	F6WF09
9796.ENSECAP00000017507	F7CRC8
9796.ENSECAP00000000323	F7D434
9796.ENSECAP00000009316	F6ZYE9
9796.ENSECAP00000006464	Q70WU4
9796.ENSECAP00000019797	F7A730
9796.ENSECAP00000005083	F7DYU0
9796.ENSECAP00000003261	G8GV86
9796.ENSECAP00000008070	G8GVA0
9796.ENSECAP00000016524	Q9TQR3
9796.ENSECAP00000023113	M4I4B0
9796.ENSECAP00000014357	F6YHL4
9796.ENSECAP00000016115	F7AAY0
9796.ENSECAP00000023105	G4RJ48
9796.ENSECAP00000023104	D3GDA4
9796.ENSECAP00000023105	G4RJ23
9796.ENSECAP00000006525	F6WAD3
9796.ENSECAP00000023105	G4RJ19
9796.ENSECAP00000010130	R9W7B5
9796.ENSECAP00000023113	Q2PX88
9796.ENSECAP00000023113	Q2PX86
9796.ENSECAP00000010159	F6QPV3
9796.ENSECAP00000007361	F6WZK8
9796.ENSECAP00000018516	B7XH73
9796.ENSECAP00000010541	F6S981
9796.ENSECAP00000003697	F6Z446
9796.ENSECAP00000016480	F7A3B1
9796.ENSECAP00000016524	O97977
9796.ENSECAP00000023109	B8Y9D8
9796.ENSECAP00000014286	Q9TQT4
9796.ENSECAP00000012389	F7CST1
9796.ENSECAP00000023112	M4I371
9796.ENSECAP00000009921	D9ZFG8
9796.ENSECAP00000003988	F6Q0C1
9796.ENSECAP00000023103	G4RIU1
9796.ENSECAP00000011356	F6ZTF2
9796.ENSECAP00000019426	B2L108
9796.ENSECAP00000020236	F6UQ57
9796.ENSECAP00000003756	F6QIK1
9796.ENSECAP00000016524	Q9TQW8
9796.ENSECAP00000005147	F7DF45
9796.ENSECAP00000023101	Q1WFK2
9796.ENSECAP00000023106	Q1WFK9
9796.ENSECAP00000016524	Q9TQW7
9796.ENSECAP00000023103	H6U0I8
9796.ENSECAP00000023105	G4RJ36
9796.ENSECAP00000016524	Q9TQV8
9796.ENSECAP00000023109	B8Y9D4
9796.ENSECAP00000023101	H3JZY1
9796.ENSECAP00000016524	O97973
9796.ENSECAP00000013498	Q28391
9796.ENSECAP00000000126	F7CZ92
9796.ENSECAP00000022245	A7LGW7
9796.ENSECAP00000015947	F7CTS5
9796.ENSECAP00000023108	A5JYC5
9796.ENSECAP00000003745	F6QKE8
9796.ENSECAP00000013607	A9CS55
9796.ENSECAP00000004371	F7B1A9
9796.ENSECAP00000023112	M4I4V9
9796.ENSECAP00000023107	C7ED33
9796.ENSECAP00000018932	F6QA35
9796.ENSECAP00000000857	A5A4T5
9796.ENSECAP00000004642	F7AI90
9796.ENSECAP00000019571	F6X8P4
9796.ENSECAP00000004909	F6U1E5
9796.ENSECAP00000003835	F6SSK7
9796.ENSECAP00000014910	F7AZA0
9796.ENSECAP00000016647	Q95M14
9796.ENSECAP00000022123	F6QQ93
9796.ENSECAP00000016524	O97971
9796.ENSECAP00000016524	Q71UB5
9796.ENSECAP00000008070	G8GVB8
9796.ENSECAP00000008894	Q8MHX2
9796.ENSECAP00000020846	Q75XS1
9796.ENSECAP00000012556	F7DNF2
9796.ENSECAP00000023113	G4RIX5
9796.ENSECAP00000012383	B1AB89
9796.ENSECAP00000023113	H6U122
9796.ENSECAP00000023113	Q2PX92
9796.ENSECAP00000008070	G8GVA8
9796.ENSECAP00000002786	F6WR21
9796.ENSECAP00000008070	G8GVD9
9796.ENSECAP00000001744	F6WFK5
9796.ENSECAP00000023101	G8D041
9796.ENSECAP00000014286	Q95N75
9796.ENSECAP00000022397	Q866A9
