198214.SF4099	P59339
198214.SF4098	P59341
198214.SF1962	P59330
198214.SF0232	P0A6K0
198214.SF0089	Q83MF7
198214.SF3203	P0A9P8
198214.SF3318	Q83PZ1
198214.SF4415	P0A6K9
198214.SF4413	Q83P02
198214.SF4416	Q83P00
198214.SF2235	P0AEE7
198214.SF0152	Q83MD6
198214.SF3456	P0A9R1
198214.SF3217	P0AC15
198214.SF0575	P0AC46
198214.SF3190	P66819
198214.SF0748	Q83LU7
198214.SF1067	P0ABR4
198214.SF0052	Q7UDT6
198214.SF0137	P0ABS4
198214.SF0113	P0A9P3
198214.SF3619	Q83PQ6
198214.SF0854	Q83RZ7
198214.SF1612	P69855
198214.SF4154	P0ACB1
198214.SF4392	P0AEF3
198214.SF3107	P0ABS7
198214.SF0015	Q7UDU1
198214.SF0014	Q83MH5
198214.SF4393	P0A8J3
198214.SF2466	Q83K81
198214.SF1737	Q83KV7
198214.SF0279	Q83M86
198214.SF3576	P0AAG2
198214.SF0763	P0ABT4
198214.SF3931	P52235
198214.SF1174	Q54155
198214.SF2279	P0AA88
198214.SF2432	P0A3F7
198214.SF1997	Q83KN1
198214.SF3959	P0A6M7
198214.SF0588	Q83S84
198214.SF4156	Q7UBC5
198214.SF3298	Q83PZ5
198214.SF2225	Q7UC91
198214.SF3679	Q83PN3
198214.SF0163	Q83MD3
198214.SF0357	Q83SG2
198214.SF0045	P0ABQ6
198214.SF2912	P0A9B9
198214.SF2640	Q83K22
198214.SF4305	P0ADC0
198214.SF2293	Q821B1
198214.SF1021	Q83LK4
198214.SF1020	P0AB25
198214.SF1019	Q83LK5
198214.SF3358	Q83JC3
198214.SF2258	Q83KE6
198214.SF4303	P0A6N7
198214.SF0160	P0A6P4
198214.SF4053	Q83JC4
198214.SF2346	P0AEH4
198214.SF3249	P0ABU6
198214.SF1183	Q83RQ0
198214.SF1183	Q83RP9
198214.SF2244	Q83QW6
198214.SF0583	Q83LZ7
198214.SF3935	Q83PF4
198214.SF2794	P0A6Q2
198214.SF0509	P0ADI6
198214.SF0495	P0A3C0
198214.SF0498	P29698
198214.SF0505	Q83SB6
198214.SF3423	P0AEJ5
198214.SF4313	P0A8P0
198214.SF2628	Q83QI5
198214.SF0148	P0ACC6
198214.SF4423	P0A9W5
198214.SF2504	P63748
198214.SF2436	P0ACZ7
198214.SF2555	Q83QL0
198214.SF0359	P0A8H2
198214.SF3050	P0ABV5
198214.SF3137	P0ACL4
198214.SF4258	P0A995
198214.SF0954	P0A6Q5
198214.SF1099	P0AAI8
198214.SF1097	P0AEK3
198214.SF1095	Q83RS8
198214.SF1293	P0AEK6
198214.SF4045	P0ACU6
198214.SF0170	P0A6Q9
198214.SF3921	Q83PG2
198214.SF3922	Q83PG1
198214.SF2420	Q83K95
198214.SF2419	Q83QQ0
198214.SF2421	P59741
198214.SF1176	P0A8V9
198214.SF2441	P69903
198214.SF3971	Q83PE5
198214.SF3967	Q83PE8
198214.SF1750	P0AAJ4
198214.SF1749	P0AEK9
198214.SF3969	P0AAJ7
198214.SF4002	P28901
198214.SF3428	Q83PW3
198214.SF3429	Q83J94
198214.SF2572	P0A9R6
198214.SF2959	P0A8P5
198214.SF3993	Q83PD6
198214.SF4209	P0ADH9
198214.SF3299	P0A6R8
