,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C00007': -1, u'C01275': 1, u'C03203': -1}",-302.52,7.46,-285.41,-76.8,C00007 + C03203 <=> C01275
"{u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00491': 1, u'C00097': -2.0}",-8.27,6.64,8.84,1.43,C00003 + 2 C00097 <=> C00004 + C00080 + C00491
"{u'C00392': 1, u'C00001': -1, u'C00009': 1, u'C00644': -1}",-10.67,1.8,-27.79,-7.48,C00001 + C00644 <=> C00009 + C00392
"{u'C00010': -1, u'C00013': 1, u'C14143': 1, u'C00020': 1, u'C00002': -1, u'C06104': -1}",-15.64,1.47,-15.64,-2.1,C00002 + C00010 + C06104 <=> C00013 + C00020 + C14143
"{u'C00001': -1, u'C01019': 1, u'C03619': 1, u'C04698': -1}",-11.85,2.3,-28.97,-7.79,C00001 + C04698 <=> C01019 + C03619
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C03594': 1, u'C00187': -1}",-406.11,3.25,-389.0,-62.8,C00005 + C00007 + C00080 + C00187 <=> C00001 + C00006 + C03594
"{u'C06893': -1, u'C00111': 1, u'C00222': 1}",-1.32,4.46,-18.44,-4.96,C06893 <=> C00111 + C00222
"{u'C19816': 1, u'C00013': 1, u'C00353': -1}",-276.46,19.0,-293.58,-78.99,C00353 <=> C00013 + C19816
"{u'C00010': 1, u'C00024': -1, u'C06156': -1, u'C04501': 1}",-20.88,3.93,-20.88,-4.21,C00024 + C06156 <=> C00010 + C04501
"{u'C00352': 1, u'C06156': -1}",-3.07,1.71,-3.07,-1.24,C06156 <=> C00352
"{u'C00001': -1, u'C00080': 1, u'C01279': 1, u'C04294': 1, u'C00378': -1}",-5.32,4.06,-22.44,-6.04,C00001 + C00378 <=> C00080 + C01279 + C04294
"{u'C05458': 1, u'C17339': -1, u'C00028': 1, u'C00030': -1}",84.91,0.0,84.91,17.14,C00030 + C17339 <=> C00028 + C05458
"{u'C00204': 1, u'C00014': 1, u'C03752': -1}",-27.64,3.86,-44.75,-12.04,C03752 <=> C00014 + C00204
"{u'C15870': -1, u'C15874': 1}",-4.69,1.28,-4.69,-1.89,C15870 <=> C15874
"{u'C00751': -1, u'C06309': 1, u'C00001': -1}",-364.49,400000.0,-364.49,-147.11,C00001 + C00751 <=> C06309
"{u'C03050': 1, u'C01090': -1}",0.0,0.0,0.0,0.0,C01090 <=> C03050
"{u'C18136': 1, u'C00013': 1, u'C00002': -1, u'C01917': -1}",214.56,70710.68,214.56,43.3,C00002 + C01917 <=> C00013 + C18136
"{u'C02498': 1, u'C03343': 1, u'C00001': -1, u'C03690': -1}",-19.44,2.16,-36.56,-9.84,C00001 + C03690 <=> C02498 + C03343
"{u'C00011': 1, u'C00084': 1, u'C00022': -1}",-16.21,3.31,-33.33,-8.97,C00022 <=> C00011 + C00084
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00414': -1, u'C01880': 1}",-363.53,5.06,-346.41,-55.93,C00005 + C00007 + C00080 + C00414 <=> C00001 + C00006 + C01880
"{u'C14086': -1, u'C14087': 1, u'C00001': -1, u'C00022': 1}",9.93,2.08,-7.19,-1.93,C00001 + C14086 <=> C00022 + C14087
"{u'C00010': 1, u'C00024': -1, u'C05042': -1, u'C17952': 1}",-44.99,0.0,-44.99,-9.08,C00024 + C05042 <=> C00010 + C17952
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C07729': -1, u'C03569': 1}",-593.63,100000.0,-576.52,-93.08,C00004 + C00007 + C00080 + C07729 <=> C00003 + C03569
"{u'C00599': 1, u'C00006': -1, u'C00005': 1, u'C03091': -1, u'C00080': 1}",11.48,7.71,11.48,2.32,C00006 + C03091 <=> C00005 + C00080 + C00599
"{u'C00009': 1, u'C00008': 1, u'C00002': -1, u'C00001': -2.0, u'C02565': -1, u'C01043': 1}",-114.54,8.19,-131.66,-21.26,2 C00001 + C00002 + C02565 <=> C00008 + C00009 + C01043
"{u'C01934': -1, u'C03979': 1, u'C00001': 1}",-41.91,1.25,-41.91,-16.91,C01934 <=> C00001 + C03979
