,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C05578': -1, u'C00011': -1, u'C05604': 1}",45.1,5.16,62.21,16.74,C00011 + C05578 <=> C05604
"{u'C00063': -1, u'C00941': 1, u'C00013': 1}",3.52,2.89,-13.59,-3.66,C00063 <=> C00013 + C00941
"{u'C00399': 1, u'C00390': -1, u'C00125': -2.0, u'C00126': 2.0, u'C00080': 2.0}",16.77,282842.71,16.77,2.26,2 C00125 + C00390 <=> 2 C00080 + 2 C00126 + C00399
"{u'C00025': 1, u'C00026': -1, u'C05947': -1, u'C05946': 1}",-8.63,1.84,-8.63,-1.74,C00026 + C05947 <=> C00025 + C05946
"{u'C01853': 1, u'C00011': 1, u'C02080': -1, u'C00001': -1}",-239.21,100000.0,-256.33,-68.97,C00001 + C02080 <=> C00011 + C01853
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C06007': -1, u'C14463': 1}",18.32,1.0,18.32,3.7,C00006 + C06007 <=> C00005 + C00080 + C14463
"{u'C00448': -1, u'C00013': 1, u'C16814': 1}",-257.71,7.33,-274.82,-73.95,C00448 <=> C00013 + C16814
"{u'C01083': -1, u'C00001': -1, u'C00031': 2.0}",-11.66,1.09,-28.77,-7.74,C00001 + C01083 <=> 2 C00031
"{u'C00224': 1, u'C00059': -1, u'C00009': 1, u'C00008': -1}",60.61,1.2,60.61,12.23,C00008 + C00059 <=> C00009 + C00224
"{u'C00011': 1, u'C01424': -1, u'C01108': 1}",-8.85,3.33,-25.97,-6.99,C01424 <=> C00011 + C01108
"{u'C00502': 1, u'C00001': -1, u'C02266': -1}",-21.43,2.39,-21.43,-8.65,C00001 + C02266 <=> C00502
"{u'C01062': 1, u'C00006': -1, u'C00005': 1, u'C00257': -1, u'C00080': 1}",23.04,3.31,23.04,4.65,C00006 + C00257 <=> C00005 + C00080 + C01062
"{u'C05453': -1, u'C00006': -1, u'C00005': 1, u'C17339': 1, u'C00080': 1}",11.48,7.71,11.48,2.32,C00006 + C05453 <=> C00005 + C00080 + C17339
"{u'C00025': 1, u'C00026': -1, u'C11907': 1, u'C04268': -1}",-1.81,2.96,-1.81,-0.37,C00026 + C04268 <=> C00025 + C11907
"{u'C03015': -1, u'C00011': 1, u'C00014': 2.0, u'C00001': -1, u'C00022': 1}",-390.93,100000.0,-442.28,-71.4,C00001 + C03015 <=> C00011 + 2 C00014 + C00022
"{u'C00006': -1, u'C00005': 1, u'C05744': 1, u'C04618': -1, u'C00080': 1}",36.79,0.0,36.79,7.43,C00006 + C04618 <=> C00005 + C00080 + C05744
"{u'C00003': -1, u'C00080': 1, u'C00004': 1, u'C12831': 1, u'C12832': -1}",175.35,316227.77,175.35,35.39,C00003 + C12832 <=> C00004 + C00080 + C12831
"{u'C06899': -1, u'C00080': -1, u'C00004': -1, u'C00003': 1, u'C00001': 1, u'C07490': 1}",44.91,0.0,44.91,9.06,C00004 + C00080 + C06899 <=> C00001 + C00003 + C07490
"{u'C00197': 1, u'C00631': -1}",-4.15,0.36,-4.15,-1.68,C00631 <=> C00197
"{u'C00027': 1, u'C00014': 1, u'C00007': -1, u'C05827': 1, u'C00001': -1, u'C05127': -1}",-94.46,4.58,-111.57,-18.01,C00001 + C00007 + C05127 <=> C00014 + C00027 + C05827
"{u'C00054': 1, u'C16260': -1, u'C16261': 1, u'C00053': -1}",-245.59,70710.68,-245.59,-49.56,C00053 + C16260 <=> C00054 + C16261
"{u'C00080': -3.0, u'C18320': -1, u'C14401': 1, u'C00004': -3.0, u'C00003': 3.0, u'C00001': 2.0}",-400.23,100000.0,-400.23,-40.38,3 C00004 + 3 C00080 + C18320 <=> 2 C00001 + 3 C00003 + C14401
"{u'C02165': -1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C04853': 1}",-392.94,3.13,-375.82,-60.67,C00005 + C00007 + C00080 + C02165 <=> C00001 + C00006 + C04853
"{u'C12667': 1, u'C00029': -1, u'C00015': 1, u'C05623': -1}",-14.33,2.19,-14.33,-2.89,C00029 + C05623 <=> C00015 + C12667
"{u'C01770': -1, u'C01991': 1, u'C00001': -1}",-49.01,3.74,-49.01,-19.78,C00001 + C01770 <=> C01991
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C15992': 1, u'C00001': 1, u'C00187': -1}",48.12,0.0,65.23,10.53,C00005 + C00007 + C00080 + C00187 <=> C00001 + C00006 + C15992
"{u'C00013': 1, u'C19753': 1, u'C00448': -1}",-299.26,19.28,-316.37,-85.13,C00448 <=> C00013 + C19753
"{u'C06044': -1, u'C03765': 1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",20.59,1.01,20.59,4.16,C00003 + C06044 <=> C00004 + C00080 + C03765
"{u'C00029': -1, u'C16304': -1, u'C16303': 1, u'C00015': 1}",61.63,100000.0,61.63,12.44,C00029 + C16304 <=> C00015 + C16303
"{u'C00063': -1, u'C00001': -1, u'C00009': 1, u'C00112': 1}",-26.6,2.32,-43.71,-11.76,C00001 + C00063 <=> C00009 + C00112
"{u'C00342': 1, u'C00343': -1, u'C03802': 1, u'C04283': -1, u'C00001': -1}",0.42,0.0,0.42,0.08,C00001 + C00343 + C04283 <=> C00342 + C03802
"{u'C00055': 1, u'C00104': 1, u'C00475': -1, u'C00081': -1}",-15.74,3.13,-15.74,-3.18,C00081 + C00475 <=> C00055 + C00104
"{u'C00689': -1, u'C01083': 1, u'C00001': -1, u'C00009': 1}",-6.84,2.23,-23.95,-6.45,C00001 + C00689 <=> C00009 + C01083
"{u'C00674': -1, u'C00028': -1, u'C00030': 1, u'C00280': 1}",-84.91,0.0,-84.91,-17.14,C00028 + C00674 <=> C00030 + C00280
"{u'C00003': -1, u'C00004': 1, u'C00379': -1, u'C00310': 1, u'C00080': 1}",17.64,0.96,17.64,3.56,C00003 + C00379 <=> C00004 + C00080 + C00310
"{u'C00114': -1, u'C00139': 2.0, u'C00080': -2.0, u'C00007': -1, u'C00138': -2.0, u'C00001': 1, u'C07345': 1}",83.29,0.0,100.41,11.58,C00007 + 2 C00080 + C00114 + 2 C00138 <=> C00001 + 2 C00139 + C07345
"{u'C15794': 1, u'C15803': -1}",-61.63,1.44,-61.63,-24.87,C15803 <=> C15794
"{u'C00010': -1, u'C11062': 1, u'C00013': 1, u'C00020': 1, u'C00002': -1, u'C00989': -1}",-28.18,1.91,-28.18,-3.79,C00002 + C00010 + C00989 <=> C00013 + C00020 + C11062
"{u'C00078': -1, u'C00016': 1, u'C00080': -1, u'C00007': -1, u'C00001': 2.0, u'C01352': -1, u'C19687': 1, u'C00698': -1}",-3.24,0.0,30.99,4.17,C00007 + C00078 + C00080 + C00698 + C01352 <=> 2 C00001 + C00016 + C19687
"{u'C00037': 1, u'C00073': -1, u'C00048': -1, u'C01180': 1}",-18.25,2.43,-18.25,-3.68,C00048 + C00073 <=> C00037 + C01180
"{u'C03256': -1, u'C00556': 1, u'C00001': -1, u'C01564': 1}",-16.69,2.08,-33.8,-9.09,C00001 + C03256 <=> C00556 + C01564
"{u'C00009': 16.0, u'C00139': 8.0, u'C00008': 16.0, u'C00138': -8.0, u'C00002': -16.0, u'C00001': -16.0, u'C05359': 8.0}",-654.53,0.0,-1065.28,-11.94,16 C00001 + 16 C00002 + 8 C00138 <=> 16 C00008 + 16 C00009 + 8 C00139 + 8 C05359
"{u'C00007': -1, u'C16196': 1, u'C00094': 1, u'C16193': -1}",-108.01,70710.68,-108.01,-21.8,C00007 + C16193 <=> C00094 + C16196
"{u'C05266': -1, u'C05276': 1, u'C00001': 1}",0.7,1.48,0.7,0.28,C05266 <=> C00001 + C05276
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00249': -1, u'C18218': 1}",-393.53,6.66,-376.42,-60.77,C00005 + C00007 + C00080 + C00249 <=> C00001 + C00006 + C18218
"{u'C00092': 1, u'C00206': 1, u'C00131': -1, u'C00031': -1}",-21.42,1.49,-21.42,-4.32,C00031 + C00131 <=> C00092 + C00206
"{u'C06218': -1, u'C02013': 1, u'C00001': -1, u'C00031': 1}",-13.39,1.77,-30.5,-8.21,C00001 + C06218 <=> C00031 + C02013
"{u'C01110': 1, u'C00515': -1, u'C00161': -1, u'C00405': 1}",-169.01,0.0,-169.01,-34.11,C00161 + C00515 <=> C00405 + C01110
"{u'C00043': -1, u'C04739': 1, u'C00105': 1, u'C00052': -1}",209.36,70710.68,209.36,42.25,C00043 + C00052 <=> C00105 + C04739
"{u'C07335': 1, u'C00003': -1, u'C06055': -1, u'C00004': 1, u'C00080': 1}",13.1,0.98,13.1,2.64,C00003 + C06055 <=> C00004 + C00080 + C07335
"{u'C00135': -1, u'C00014': 1, u'C00785': 1}",4.65,1.05,-12.47,-3.36,C00135 <=> C00014 + C00785
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C04291': 1, u'C00001': -1, u'C03764': -1}",-48.12,0.0,-48.12,-9.71,C00001 + C00006 + C03764 <=> C00005 + C00080 + C04291
"{u'C00006': -2.0, u'C00005': 2.0, u'C06313': 1, u'C00272': -1, u'C00080': 2.0}",18.04,6.0,18.04,2.43,2 C00006 + C00272 <=> 2 C00005 + 2 C00080 + C06313
"{u'C00001': 1, u'C00146': -1, u'C00033': -1, u'C00548': 1}",69.78,3.09,86.9,23.38,C00033 + C00146 <=> C00001 + C00548
"{u'C10107': 1, u'C00011': 1, u'C02906': -1, u'C00026': -1, u'C00007': -1, u'C00001': 1, u'C00042': 1}",-242.16,141421.36,-242.16,-32.58,C00007 + C00026 + C02906 <=> C00001 + C00011 + C00042 + C10107
"{u'C00577': 1, u'C00204': -1, u'C00022': 1}",18.31,2.96,1.19,0.32,C00204 <=> C00022 + C00577
"{u'C00121': 1, u'C15586': -1, u'C15587': 1, u'C00001': -1}",2.08,2.49,-15.03,-4.04,C00001 + C15586 <=> C00121 + C15587
"{u'C19790': -1, u'C00004': 1, u'C00003': -1, u'C00176': 1, u'C00080': 1}",40.03,0.0,40.03,8.08,C00003 + C19790 <=> C00004 + C00080 + C00176
"{u'C00043': -1, u'C04300': -1, u'C00015': 1, u'C04806': 1}",-5.78,0.0,-5.78,-1.17,C00043 + C04300 <=> C00015 + C04806
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C07086': 1, u'C00001': -1, u'C00601': -1}",-39.77,1.72,-39.77,-8.03,C00001 + C00006 + C00601 <=> C00005 + C00080 + C07086
"{u'C00214': -1, u'C00020': 1, u'C00364': 1, u'C00008': -1}",-15.33,2.98,-15.33,-3.09,C00008 + C00214 <=> C00020 + C00364
"{u'C00011': 1, u'C00026': -1, u'C10044': 1, u'C00007': -1, u'C00001': 1, u'C00042': 1, u'C09826': -1}",-375.15,100000.0,-375.15,-50.47,C00007 + C00026 + C09826 <=> C00001 + C00011 + C00042 + C10044
"{u'C01352': 1, u'C16168': -1, u'C00016': -1, u'C16374': 1}",49.18,3.23,49.18,9.92,C00016 + C16168 <=> C01352 + C16374
"{u'C02140': -1, u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C05490': 1}",4.0,1.56,4.0,0.81,C00006 + C02140 <=> C00005 + C00080 + C05490
"{u'C00029': -1, u'C08620': -1, u'C12646': 1, u'C00015': 1}",-64.79,2.7,-64.79,-13.08,C00029 + C08620 <=> C00015 + C12646
"{u'C02076': -1, u'C06222': 1, u'C00002': -1, u'C00008': 1}",-1.17,1.87,-1.17,-0.24,C00002 + C02076 <=> C00008 + C06222
"{u'C03057': -1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C01606': 1}",-43.24,1.12,-43.24,-8.73,C00001 + C00003 + C03057 <=> C00004 + C00080 + C01606
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C16233': 1, u'C16232': -1}",-406.23,3.25,-389.12,-62.82,C00005 + C00007 + C00080 + C16232 <=> C00001 + C00006 + C16233
"{u'C00036': -1, u'C00011': 1, u'C00013': -1, u'C00009': 1, u'C00074': 1}",23.21,3.16,6.09,0.98,C00013 + C00036 <=> C00009 + C00011 + C00074
"{u'C00011': 1, u'C01137': 1, u'C00019': -1, u'C00080': -1}",-21.01,3.11,-38.12,-10.26,C00019 + C00080 <=> C00011 + C01137
"{u'C00331': -1, u'C00011': 1, u'C00637': 1}",6.86,3.42,-10.26,-2.76,C00331 <=> C00011 + C00637
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00001': -1, u'C00042': 1, u'C00232': -1}",-37.71,2.39,-37.71,-7.61,C00001 + C00006 + C00232 <=> C00005 + C00042 + C00080
"{u'C00042': -1, u'C00122': 1, u'C00028': -1, u'C00030': 1}",-84.9,0.0,-84.9,-17.13,C00028 + C00042 <=> C00030 + C00122
"{u'C00139': -6.0, u'C00283': -1, u'C00080': 6.0, u'C00138': 6.0, u'C00001': -3.0, u'C00094': 1}",164.07,18.4,164.07,9.46,3 C00001 + 6 C00139 + C00283 <=> 6 C00080 + C00094 + 6 C00138
"{u'C00029': -1, u'C00015': 1, u'C12644': -1, u'C12645': 1}",-64.98,2.7,-64.98,-13.11,C00029 + C12644 <=> C00015 + C12645
"{u'C00158': -1, u'C00311': 1}",7.63,0.33,7.63,3.08,C00158 <=> C00311
"{u'C17749': 1, u'C00029': -1, u'C00015': 1, u'C10443': -1}",-66.43,2.7,-66.43,-13.41,C00029 + C10443 <=> C00015 + C17749
"{u'C15857': 1, u'C19764': -1}",0.0,0.0,0.0,0.0,C19764 <=> C15857
"{u'C00546': -1, u'C00006': 1, u'C00005': -1, u'C05235': 1, u'C00080': -1}",-18.13,1.72,-18.13,-3.66,C00005 + C00080 + C00546 <=> C00006 + C05235
"{u'C19760': -1, u'C00013': 1, u'C19736': 1}",-45.37,0.0,-62.49,-16.81,C19760 <=> C00013 + C19736
"{u'C00010': 1, u'C00582': -1, u'C00001': -1, u'C00956': 1, u'C05557': -1, u'C05551': 1}",-31.34,3.12,-48.45,-7.82,C00001 + C00582 + C05557 <=> C00010 + C00956 + C05551
"{u'C00001': -1, u'C04867': -1, u'C00132': 1, u'C04834': 1}",-7.83,3.58,-24.95,-6.71,C00001 + C04867 <=> C00132 + C04834
"{u'C00173': -1, u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C00693': 1}",36.79,0.0,36.79,7.43,C00006 + C00173 <=> C00005 + C00080 + C00693
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C05247': 1, u'C05191': -1}",-439.04,3.57,-421.92,-68.12,C00005 + C00007 + C00080 + C05191 <=> C00001 + C00006 + C05247
"{u'C16473': 1, u'C00004': 1, u'C00003': -1, u'C16483': -1, u'C00080': 1}",-202.9,100000.0,-202.9,-40.95,C00003 + C16483 <=> C00004 + C00080 + C16473
"{u'C01721': 1, u'C01019': -1}",5.48,2.96,5.48,2.21,C01019 <=> C01721
"{u'C00001': -1, u'C00270': 1, u'C00009': 1, u'C06241': -1}",-13.32,1.84,-30.43,-8.19,C00001 + C06241 <=> C00009 + C00270
"{u'C00010': 1, u'C00024': -1, u'C06442': 1, u'C03283': -1}",-22.27,1.76,-22.27,-4.49,C00024 + C03283 <=> C00010 + C06442
"{u'C00080': -2.0, u'C00007': -1, u'C00006': 2.0, u'C00005': -2.0, u'C00001': 1, u'C00088': 1, u'C01988': -1, u'C00090': 1}",-623.92,141421.36,-623.92,-62.95,2 C00005 + C00007 + 2 C00080 + C01988 <=> C00001 + 2 C00006 + C00088 + C00090
"{u'C14768': -1, u'C00001': -1, u'C14772': 1}",25.17,2.9,25.17,10.16,C00001 + C14768 <=> C14772
"{u'C00077': 1, u'C00437': -1, u'C00001': -1, u'C00033': 1}",0.24,3.41,-16.87,-4.54,C00001 + C00437 <=> C00033 + C00077
"{u'C00007': -1, u'C05819': -2.0, u'C00828': 2.0, u'C00001': 2.0}",-362.61,6.81,-345.49,-55.78,C00007 + 2 C05819 <=> 2 C00001 + 2 C00828
"{u'C00106': 1, u'C00006': -1, u'C00005': 1, u'C00429': -1, u'C00080': 1}",-0.59,3.73,-0.59,-0.12,C00006 + C00429 <=> C00005 + C00080 + C00106
"{u'C00003': -1, u'C00004': 1, u'C00410': 1, u'C01953': -1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C01953 <=> C00004 + C00080 + C00410
"{u'C00029': -1, u'C00015': 1, u'C17759': 1, u'C01494': -1}",-0.12,2.7,-0.12,-0.02,C00029 + C01494 <=> C00015 + C17759
"{u'C11409': -1, u'C00004': 1, u'C00003': -1, u'C11383': 1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C11409 <=> C00004 + C00080 + C11383
"{u'C04900': 1, u'C00167': -1, u'C00015': 1, u'C12632': -1}",-70.19,2.52,-70.19,-14.16,C00167 + C12632 <=> C00015 + C04900
"{u'C00010': -1, u'C02249': 1, u'C00013': 1, u'C00020': 1, u'C00002': -1, u'C00219': -1}",-11.11,2.02,-11.11,-1.49,C00002 + C00010 + C00219 <=> C00013 + C00020 + C02249
"{u'C07639': -1, u'C00030': 1, u'C00080': -1, u'C00028': -1, u'C01829': 1, u'C00708': -1}",-41.68,0.0,-24.57,-3.97,C00028 + C00080 + C00708 + C07639 <=> C00030 + C01829
"{u'C03035': 1, u'C00030': -1, u'C00007': -1, u'C00028': 1, u'C00001': 2.0, u'C02050': -1}",84.91,0.0,102.03,16.47,C00007 + C00030 + C02050 <=> 2 C00001 + C00028 + C03035
"{u'C00364': -1, u'C00008': 1, u'C00363': 1, u'C00002': -1}",-2.6,2.96,-2.6,-0.52,C00002 + C00364 <=> C00008 + C00363
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C02637': 1, u'C00493': -1}",76.82,4.03,76.82,15.5,C00006 + C00493 <=> C00005 + C00080 + C02637
"{u'C11537': 1, u'C11536': -1, u'C00001': -1, u'C00009': 1}",-12.27,1.32,-29.38,-7.91,C00001 + C11536 <=> C00009 + C11537
"{u'C00011': -1, u'C00008': 1, u'C00014': -1, u'C00169': 1, u'C00002': -1}",21.55,4.0,38.67,6.24,C00002 + C00011 + C00014 <=> C00008 + C00169
"{u'C00312': 1, u'C00005': 1, u'C00080': 1, u'C00379': -1, u'C00006': -1}",17.37,1.32,17.37,3.51,C00006 + C00379 <=> C00005 + C00080 + C00312
"{u'C00114': 1, u'C00933': -1, u'C00001': -1, u'C00482': 1}",-18.44,1.97,-35.56,-9.57,C00001 + C00933 <=> C00114 + C00482
"{u'C14899': 1, u'C16186': -1, u'C00001': -1}",-95.29,100000.0,-95.29,-38.46,C00001 + C16186 <=> C14899
"{u'C04652': -1, u'C00105': 1, u'C04824': 1, u'C00001': -1}",-30.4,3.39,-47.52,-12.79,C00001 + C04652 <=> C00105 + C04824
"{u'C00906': -1, u'C05100': 1, u'C00001': -1}",-5.28,2.71,-5.28,-2.13,C00001 + C00906 <=> C05100
"{u'C16221': -1, u'C00004': -1, u'C00003': 1, u'C04088': 1, u'C00080': -1}",-40.03,0.0,-40.03,-8.08,C00004 + C00080 + C16221 <=> C00003 + C04088
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C03968': -1, u'C03715': 1}",36.79,0.0,36.79,7.43,C00006 + C03968 <=> C00005 + C00080 + C03715
"{u'C08579': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C06098': -1}",-287.74,200000.0,-270.63,-43.69,C00005 + C00007 + C00080 + C06098 <=> C00001 + C00006 + C08579
"{u'C00231': 1, u'C00199': -1}",-3.37,1.16,-3.37,-1.36,C00199 <=> C00231
"{u'C00003': -1, u'C05450': -1, u'C00004': 1, u'C05467': 1, u'C00080': 1}",18.14,0.98,18.14,3.66,C00003 + C05450 <=> C00004 + C00080 + C05467
"{u'C00519': 1, u'C00011': 1, u'C00606': -1}",-17.64,3.11,-34.76,-9.35,C00606 <=> C00011 + C00519
"{u'C00010': 1, u'C00024': -1, u'C02593': -1, u'C05259': 1}",32.46,1.35,32.46,6.55,C00024 + C02593 <=> C00010 + C05259
"{u'C00227': 1, u'C00011': 1, u'C00027': 1, u'C00009': -1, u'C00022': -1, u'C00007': -1}",-157.15,5.29,-157.15,-21.14,C00007 + C00009 + C00022 <=> C00011 + C00027 + C00227
"{u'C00025': 1, u'C00439': -1, u'C00001': -1, u'C00488': 1}",-47.58,50000.0,-64.7,-17.41,C00001 + C00439 <=> C00025 + C00488
"{u'C00007': -1, u'C02923': -1, u'C06210': 1}",-258.04,5.27,-240.92,-64.83,C00007 + C02923 <=> C06210
"{u'C00430': -2.0, u'C00001': 2.0, u'C00931': 1}",-110.63,4.01,-93.51,-25.16,2 C00430 <=> 2 C00001 + C00931
"{u'C04713': 1, u'C00013': 1, u'C00020': -1, u'C00235': -1}",-54.95,4.89,-54.95,-11.09,C00020 + C00235 <=> C00013 + C04713
"{u'C00025': 1, u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00001': -2.0, u'C03912': -1}",-57.61,5.21,-57.61,-11.63,2 C00001 + C00006 + C03912 <=> C00005 + C00025 + C00080
"{u'C00010': 4.0, u'C00011': 3.0, u'C05195': -1, u'C00083': -3.0, u'C06355': 1}",42.03,100000.0,-26.43,-1.78,3 C00083 + C05195 <=> 4 C00010 + 3 C00011 + C06355
"{u'C18216': 1, u'C14220': -1}",-189.92,1.86,-189.92,-76.65,C14220 <=> C18216
"{u'C00899': 1, u'C00473': -1}",-13.19,2.22,-13.19,-5.32,C00473 <=> C00899
"{u'C04732': 1, u'C00255': 1, u'C04332': -2.0}",-160.62,22.51,-160.62,-32.41,2 C04332 <=> C00255 + C04732
"{u'C18327': -1, u'C00006': 1, u'C00005': -1, u'C00080': -1, u'C18328': 1}",-36.79,0.0,-36.79,-7.43,C00005 + C00080 + C18327 <=> C00006 + C18328
"{u'C00013': 1, u'C00020': 1, u'C04352': 1, u'C00002': -1, u'C03492': -1, u'C00097': -1}",-49.43,4.61,-49.43,-6.65,C00002 + C00097 + C03492 <=> C00013 + C00020 + C04352
"{u'C00080': -1, u'C00004': -1, u'C00003': 1, u'C00535': -1, u'C04295': 1}",-5.44,2.35,-5.44,-1.1,C00004 + C00080 + C00535 <=> C00003 + C04295
"{u'C00007': -1, u'C00027': 1, u'C00637': -1, u'C00954': 1, u'C00001': -1}",-172.54,4.34,-172.54,-34.82,C00001 + C00007 + C00637 <=> C00027 + C00954
"{u'C00438': 1, u'C00001': -1, u'C00337': -1}",-6.15,1.71,-6.15,-2.48,C00001 + C00337 <=> C00438
"{u'C00011': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C11638': 1, u'C06055': -1}",0.44,3.15,-16.67,-2.69,C00003 + C06055 <=> C00004 + C00011 + C00080 + C11638
"{u'C00011': 1, u'C00080': 1, u'C06729': -1, u'C00004': 1, u'C00003': -1, u'C06730': 1}",-37.16,6.9,-54.27,-8.76,C00003 + C06729 <=> C00004 + C00011 + C00080 + C06730
"{u'C00357': 1, u'C00140': -1, u'C04261': -1, u'C00615': 1}",-45.73,0.0,-45.73,-9.23,C00140 + C04261 <=> C00357 + C00615
"{u'C00029': -1, u'C00015': 1, u'C05903': -1, u'C12249': 1}",-66.4,2.7,-66.4,-13.4,C00029 + C05903 <=> C00015 + C12249
"{u'C00085': -1, u'C00354': 1, u'C00104': 1, u'C00081': -1}",-21.44,1.6,-21.44,-4.33,C00081 + C00085 <=> C00104 + C00354
"{u'C17510': 1, u'C17509': -1}",0.0,0.0,0.0,0.0,C17509 <=> C17510
"{u'C00080': 1, u'C00003': -1, u'C00004': 1, u'C04043': -1, u'C00001': -1, u'C01161': 1}",-41.65,1.12,-41.65,-8.41,C00001 + C00003 + C04043 <=> C00004 + C00080 + C01161
"{u'C00007': -1, u'C00011': 1, u'C00544': -1, u'C05585': 1, u'C00001': 1}",-387.33,4.34,-387.33,-78.17,C00007 + C00544 <=> C00001 + C00011 + C05585
"{u'C00007': -1, u'C13635': -1, u'C00058': 1, u'C00156': 1}",-512.11,3.38,-512.11,-103.35,C00007 + C13635 <=> C00058 + C00156
"{u'C12383': 1, u'C00019': -1, u'C00021': 1, u'C12382': -1}",-41.65,0.0,-41.65,-8.4,C00019 + C12382 <=> C00021 + C12383
"{u'C00007': -1, u'C16264': 1, u'C16263': -1}",-258.73,5.55,-241.61,-65.01,C00007 + C16263 <=> C16264
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C05763': 1, u'C05764': -1}",36.79,0.0,36.79,7.43,C00006 + C05764 <=> C00005 + C00080 + C05763
"{u'C00185': -1, u'C01093': 1, u'C00028': -1, u'C00030': 1}",-84.91,0.0,-84.91,-17.14,C00028 + C00185 <=> C00030 + C01093
"{u'C05259': 1, u'C05258': -1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",17.97,0.98,17.97,3.63,C00003 + C05258 <=> C00004 + C00080 + C05259
"{u'C00036': 1, u'C01990': -1, u'C00048': 1}",19.17,3.71,2.06,0.55,C01990 <=> C00036 + C00048
"{u'C00810': -1, u'C00004': 1, u'C00003': -1, u'C00741': 1, u'C00080': 1}",20.57,1.8,20.57,4.15,C00003 + C00810 <=> C00004 + C00080 + C00741
"{u'C02306': -1, u'C01171': 1, u'C00014': 1, u'C00738': -1}",-3.09,0.0,-3.09,-0.62,C00738 + C02306 <=> C00014 + C01171
"{u'C10385': 1, u'C00019': -1, u'C17570': -1, u'C00021': 1}",-154.65,100000.0,-154.65,-31.21,C00019 + C17570 <=> C00021 + C10385
"{u'C00008': 1, u'C00119': 1, u'C00002': -1, u'C01151': -1}",9.05,2.51,9.05,1.83,C00002 + C01151 <=> C00008 + C00119
"{u'C01346': -1, u'C00008': 1, u'C00460': 1, u'C00002': -1}",1.14,1.26,1.14,0.23,C00002 + C01346 <=> C00008 + C00460
"{u'C14850': -1, u'C00001': -1, u'C14852': 1}",-0.0,0.0,-0.0,-0.0,C00001 + C14850 <=> C14852
"{u'C00010': 1, u'C12096': 1, u'C00223': -1, u'C08639': -1}",-7.35,2.17,-7.35,-1.48,C00223 + C08639 <=> C00010 + C12096
"{u'C00011': 1, u'C00001': -1, u'C04575': -1, u'C05412': 1}",-70.18,3.46,-87.3,-23.49,C00001 + C04575 <=> C00011 + C05412
"{u'C07295': 1, u'C07294': -1, u'C00051': -2.0, u'C00001': 1, u'C00127': 1}",42.06,0.0,59.17,9.55,2 C00051 + C07294 <=> C00001 + C00127 + C07295
"{u'C00061': 1, u'C00001': -1, u'C00016': -1, u'C00020': 1}",-24.63,4.8,-41.74,-11.23,C00001 + C00016 <=> C00020 + C00061
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C11148': 1, u'C06790': -1}",-418.37,6.17,-401.25,-64.78,C00005 + C00007 + C00080 + C06790 <=> C00001 + C00006 + C11148
"{u'C18276': 1, u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C07535': -1}",-348.72,6.37,-331.61,-53.54,C00004 + C00007 + C00080 + C07535 <=> C00003 + C18276
"{u'C00331': -1, u'C00019': -1, u'C05644': 1, u'C00021': 1}",11.36,100000.0,11.36,2.29,C00019 + C00331 <=> C00021 + C05644
"{u'C00001': 1, u'C03069': 1, u'C05998': -1}",3.17,1.89,3.17,1.28,C05998 <=> C00001 + C03069
"{u'C00315': 1, u'C00033': 1, u'C00001': -1, u'C01029': -1}",-12.04,1.8,-29.16,-7.85,C00001 + C01029 <=> C00033 + C00315
"{u'C01268': 1, u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C04454': -1}",24.14,1.52,24.14,4.87,C00006 + C04454 <=> C00005 + C00080 + C01268
